,precision,recall,f1-score,support
0,0.018691588785046728,1.0,0.03669724770642201,2.0
1,0.01282051282051282,1.0,0.02531645569620253,3.0
2,0.014534883720930232,1.0,0.028653295128939826,5.0
3,0.3076923076923077,1.0,0.47058823529411764,8.0
4,0.03636363636363636,1.0,0.07017543859649122,4.0
5,0.09302325581395349,1.0,0.1702127659574468,4.0
6,0.04854368932038835,1.0,0.09259259259259259,5.0
7,1.0,0.6666666666666666,0.8,3.0
8,0.5,1.0,0.6666666666666666,6.0
9,0.047619047619047616,1.0,0.0909090909090909,9.0
a,0.38149847094801226,0.4793467819404419,0.42486164325244785,1041.0
b,0.5278969957081545,0.5731593662628145,0.5495978552278821,1073.0
c,0.6714761376248612,0.6484458735262594,0.6597600872410033,933.0
d,0.9010416666666666,0.6455223880597015,0.7521739130434784,1072.0
e,0.3574730354391371,0.4377358490566038,0.39355385920271413,1060.0
f,0.6697965571205008,0.6280264123257521,0.6482393032942068,1363.0
g,0.8165225744476465,0.7482394366197183,0.7808911345888838,1136.0
h,0.8435689455388181,0.6594202898550725,0.7402135231316727,1104.0
i,0.7699859747545582,0.5111731843575419,0.6144376049244544,1074.0
j,0.6600985221674877,0.6090909090909091,0.6335697399527186,1100.0
k,0.3286038592508513,0.473426001635323,0.38793969849246235,1223.0
l,0.6062874251497006,0.6778242677824268,0.6400632161201106,1195.0
m,0.8598382749326146,0.34796836651213525,0.4954377790720248,3667.0
n,0.1650485436893204,0.4061433447098976,0.23471400394477318,586.0
o,0.7317829457364341,0.4613880742913001,0.565947242206235,1023.0
p,0.6248587570621469,0.6255656108597285,0.6252119841718485,884.0
q,0.5506257110352674,0.5031185031185031,0.5258011950027159,962.0
r,0.3366778149386845,0.2674933569530558,0.2981243830207305,1129.0
s,0.2650957290132548,0.3191489361702128,0.2896218825422365,1128.0
t,0.42538975501113585,0.35207373271889403,0.3852748361069087,1085.0
u,0.28280254777070063,0.20090497737556562,0.23492063492063492,1105.0
v,0.3748854262144821,0.3597185576077397,0.36714542190305205,1137.0
w,0.8987951807228916,0.6601769911504425,0.7612244897959184,1130.0
x,0.413477537437604,0.5071428571428571,0.455545371219065,980.0
y,0.3571740078499782,0.7078651685393258,0.4747826086956522,1157.0
z,0.5299539170506913,0.5773092369477911,0.5526189332051897,996.0
accuracy,0.5034219531455646,0.5034219531455646,0.5034219531455646,0.5034219531455646
macro avg,0.456387367650484,0.6403915317021299,0.44287455924519414,30392.0
weighted avg,0.5829745800108215,0.5034219531455646,0.5206704276771589,30392.0
